How To Avoid Mars ,A crisp and newly-printed book with a new leather cover. ,"A guide on fleeing the draft (and also how to identify ways the military could try to trick you into joining an army against your will) - you suspect the cover was a typo that was supposed to read ""how to avoid wars"" "
Bombproof Your Horse ,The cover is soot-damaged and was probably white at some point. ,"17 spells that can only be applied to horses, that together will render the horse functionally immortal. However, if the horse takes a single step then the spells will collapse. "
An Essay On The Art Of Tormenting,A pale orange book with dark red lettering. ,One young woman's hastily-written exploration on how to make your in-laws loathe you without actually breaking any societal rules. 
Adventures Of A Nail ,A dark brown leather book with a silver nail embossed on the cover ,"A novel from the point of view of a nail. While the descriptions are gorgeous, not much actually happens. "
"Straddle A Saddle, Paddle And Skedaddle",A lavender canvas book with a picture on the front depicting a man in a cowboy hat who has saddled and is riding a dolphin. He looks radiantly happy,A guide to riding aquatic monsters
"Geese, And How To Make Them Pay ",A pale grey book with a black and white goose embossed on the cover. It looks angry ,"A guidebook for raising Geese, with a back section of recipes using goosemeat"
Ghosts I Never Met ,"A thick, dark blue book with (read if you dare!) scribbled in ink on one corner. ",A collection of ghost stories and spooky folk tales 
How To Cook Your Father ,A white canvas cover with a plate of steaming food illustrated on the cover. ,"The title appears to be a typo, as the inside cover reads 'how to cook FOR your father' and includes many charming recipes with no mention of cannibalism"
A Treatise On The Use Of Moles In Medicine ,A small purple book covered in tiny illustrations of moles and hand saws. ,One strange doctor's essay on why moles are both highly sanitary creatures and well-suited for helping in surgery. 
"A Treatment Of Maladies, Particularly Telepathy","An official-looking book with the region's healer's guild seal stamped on the corner, and roughly scratched off. ","A very old, outdated medical book whose author was convinced that telepathy was both contagious and highly dangerous for the user. "
Does The Earth Rotate? No!,A strangely thick book with a diagram of the 'flat earth' theory and waterfalls draining off into space creating the 'O' of NO,"A guide on how the planar system is structured, with emphasis that the material plane has been empiracly proven to be flat, with many firsthand accounts of traveling beyond its edges and looking back to see the great waterfalls spill into a void "
Cabbages And Crime ,"A dark grey book with a lit pipe smoking, embossed on the cover ","A fictional noir about a detective who fell in love with a cabbage merchant. Several reviews scribbled on the inside of the cover recommend it highly, though the penmenship of writers are all suspiciously similiar... "
Thought Transference Between Snakes ,It is a pink book with a scale pattern across its entire cover. It seems like it was made with dyed snake skin. ,A wizard's somewhat hard-to-follow ramblings about how snakes are all a hivemind and that to become a snake was to ascend to godhood 
The Theory Of Lengthwise Rolling ,"A plain brown book with a thin, fraying string hanging from the middle. ","An essay on different ways to twist rope, and their pros and cons considering various rope usages. The string is marking a page dedicated to mathematically proving that grass fibers prefer a clockwise rotation rather than counter-clockwise.  Despite the dull and highly-specific content, the author's style of explaining somehow makes it interesting and easy to understand. "
How To Cure Depression ,"The cover depicts more words, but they're sloppily crossed out by a nib sharp enough to tear the canvas. It may have once read ""how to cure depression and become a martyr"" ",A poorly written and conspiracy-laden guide to curing ailments through such means as 'rubbing an onion on your chest' and 'squeezing your asshole 100 times per day' 
Ghosts: Southwest Eadhill's Natural Resource,A pale blue book with very plain lettering. ,"A series of theoretical applications of turning ghosts into a usable energy source to replace oil-burning lamps. There are diagrams, but they're impossible to understand, as they completely lack a symbols reference guide. "
How To Date Buildings: An Easy Reference Guide ,The back cover says 'a love letter to old architecture' ,A guide on how to tell the age of buildings. Sadly lacking in romantic advice. 
Open Wide For The Handsome Mindflayer Who Is Also A Dentist,A beautifully illustrated mindflayer looms over a scaly person whose mouth is full of far too many teeth. The mindflayer is shirtless and has a muscular human chest. ,A gay romance between one mindflayer dentist and one of his patients who is half-shark
Manifold Destiny,"The diagram on the front resembles a tightly folded knot, or several triangles overlapping. It's hard to tell. ","A guide to cooking food with the energy created by pulling apart euclidean space. It describes the recipes and the steps to preparing ingredients, but does not go into detail about how to pull apart euclidean space, assuming the reader already knows how. "
Highlights In The History Of Concrete ,A grey book with dark grey lettering,A historical timeline and guide to the progression of technology surrounding types of cement 
Onions And Their Allies ,"A carefully bound treaty scroll, stamped with something that looked terribly official in red wax. ","A treaty with a small village of sentient onions who had been given true life through a Wish spell, and who now rule a small kingdom of other semi-sentient vegetables. Apparently their main export is crude oil. "
Shag The Moose ,The brown cover has a cheerful gold illustration of a moose ,A collection of children's stories revolving around a fun-loving moose named 'Shag' (due to his very shaggy coat of fur) 
Quantum Sound And Psychoacoustics: The Superiority Of The Pentatonic Scale ,"A thick and rumpled tome stuffed with extra slips of note paper. Both front and back are covered with graphs, equations, and  illustrations of a human's inner ear. ","A bard's near-manic explaination about how one could mathematically calculate where a new octive would start, in any key, by finding the frequency of sound vibrations and multiplying or dividing by two, to create a perfectly-overlapped frequency without disortions. One chapter dives into how 'Octaves' and what sounded pleasing to the human ear, while they did have some consistent notes like middle-C and base-2 pairs creating a good harmony, other 'octave sets' and intervals between notes were largely defined by the culture you learned music in. There are several chapters dedicated to proving the 'note-steps' increase on a logarithmic scale that appears exponential as you reach the highest frequencies of pitch. Her descriptions become even more harried as she mapped the actual frequency increase between notes in several octaves, to show that the ratio-of-change from the first to second note, second to third, third to fourth, and so on, was always the same when building a single octave. (12, 13, 7.5, 16, 18, 20, 11 are repeated several times, and there's several loose pages of graphing paper displaying this ratio across both major and minor keys.  The author then goes on to extrapolate on how we rarely heard a perfect tone, since the air's gas composition interferes with it, so the actual frequency of a tone in reality (not just theoretical) is not a single steady sine wave (which is only used for ease-of-explaination), but rather one that had instances of both longer and shorter wavelengths within it to create quantum-frequency, but the inner ear was able to organically collapse this 'quantum' representation of many possibilities of sound into a single stream that people then perceived, which is not quite the same as how two frequencies overlapping could create a phantom third sound, from where the wavelengths clashed as they overlapped imperfectly.  There's a lot more about the theory of frequency sensitivity and how our non-logarithmic sensitivity to decibals meant that we'd never be able to perceive sound in its mathematically 'truest' state, asserting that the Pentatonic scale was the most mathematically perfect way to create a key (since its frequency shift when traced on a line accounted for a 'sharp/flat' note between E to F, and B to C that western scales skipped) but honestly you have other priorities right now and should move on from this book. "
"Hats, Telepathy, And All Other Magical Pitfalls ","A thin, but tall blue book with an illustration of a wizard with his arms outstretched. There are measurement notations for sleeve, hem, and robe length. ","A lament from a seamstress at the ridiculous fashions that wizards, sorcerers, and warlocks continue to commission. There's a well-illustrated guide of different fashion trends throughout the last three decades, with notes on the specific height of hats, length of robes, and even types of fabrics used.  Despite the disdainful commentary inserted into descriptions regarding her clientelle, the book is incredibly thorough and well-researched."
Mad Hatter's Disease: How To Unmadden The Hatter,"This book has a colorful cover, illustrated as if bits of felt were stuck around the books' edges. ","A series of essays on metal toxicity, the side-effects of the felting and dyeing process, and several scientifically sound studies on how a good diet could reduce the effects of this industry-wide poisoning.  "
Tinker's Guide To Everything ,A pale beige leather-bound book embossed with a frequency sine wave.,"A bard claiming to have 'perfect pitch' describes the precise relationship of noise of hundreds of household items to each other - tapping each of them with a small metal rod to make a 'tink' sound, and noting where on the scale it fell.  At the end he includes some complex musical compositions using the notes created by household items. "
Glork's Aquatic Species Of The Underdeep,The cover has a cartoonishly illustrated aboleth 'swimming' around the title. ,"A field guide to aquatic animals that live within underground lakes and rivers of the underdark.  While the illustrations are incredibly accurate and the names are likely correct, the author's notes on behavior, danger level, or intelligence mostly consist of hastily-written combinations of crude epithets, frowny faces, and hearts.  The Aboleth is covered in hearts, with no further explaination. "
A Study In Fire: Races Of The Lava Fields ,The cover is illustrated with a single footprint that has little flames around it. ,"A timeline of different types of footraces held in the Elemental Plane of Fire, and who the first-three winners were for each race. While the someone has drawn mustaches and devil horns on some illustrations of past winners, the documentation appears accurate. "
Does My Dentist Want To Eat My Brain?,"A sequel to ""open wide for the handsome mindflayer who is also a dentist""  - The half-shark man is illustrated lounging wontanly across a velvet blanket, with a shadow of the mindflayer falling across him. ","Another gay romance light novel between one mindflayer dentist and his half-shark patient. The plot of the second book is surprisingly rich and nuanced compared to the first one, with fascinating character development and several new characters. "
The Squid-Faced Dentist's Dilemma ,"The third in the series of ""open wide for the handsome mindflayer who is also a dentist"" - The half-shark man is now embracing the mindflayer dentist, who looks anguished about something - if one is familiar with mindflayer methods of facial expressions. ","The rich plot of the second book has been dropped entirely, and your favorite character inexplicably moved to another continent. This book is full of incredibly detailed (and, admittedly, well-written) sex scenes, but is lacking any narraritive substance.  The dillema facing the dentist appears to be ""which position is best to bring my partner to completion"", and not the ethical and social hierarchy considerations from the second book. "
The Halfling's Tale,"The cover depicts a golden ring with text on it that resembles abyssal in form, but doesn't actually use any of the real abyssal alphabet. ","A word-for-word plagarism of 'The Lord of the Rings' series by Tolkien, except all mentions of ""Hobbit"" have been replaced with ""Halfling"" and Borimir doesn't die."
Veggie Tails ,"The book is a pale brown moleskein journal, with fine pages and very handsome penmenship. However, it stinks of rodent urine and a few of the pages have a strangely...soupy sort of stain on them. ","A journal by a professional (?) transmuter who was utterly convinced that he could breed rats infinitely, polymorph them into vegetables, feed those vegetables to the other rats, thus creating and endless and infinite supply of rat-based food. "
How To Cook For Fourty Humans ,"A wobbly-outlined human, a fork and knife, and a wobbly-outlined orc grace the cover of this faded green book. ","An orc's guide to human cuisine, with a thoughtful guide in the back on human dining ettiquite, and how different cultural and hierarchal customs varied from both each other and from midwestern orc food customs. "
"Don't Blame Me, I Voted For The Other One ","Written by a fairly well-known bard that one of the adventurers has seen in passing. The illustration of his face is not accurate, and makes him out to be much more handsome than he really is. ","A bard's guide to passing blame and avoiding concequences - You hope that the author is embellishing some of these anecdotes, as several written events are either physiologically improbable or sufficient evidence of criminal activity to warrant an arrest and conviction in several kingdoms. "
Jiggleheim's Potion Compendium ,"An old, frayed orange book with bold brown lettering on the front.  It is thoroughly stained with different colored fluids, and reeks of ammonia. ","A lengthy tome with full-color illustrations that lists 150 'common' potions, explains their consistency, smell, containment needs, color, and common nicknames... but does not describe the effects of the potion, nor how to brew or acquire any of them. "
Dental Plans & Other Investments ,"The cover shows an illustration of a human tooth, with a coin behind it. Below the image, small slanted text reads ""Better late than never""","A detailed and highly informative guide for adventurers in setting up routine medical care, food allowances, social enrichment, and so on for the children (and spouse) that they left behind, with recommendations on how often to write letters and how to receive responses at old temples while traveling. The dedication in the front includes the author's heartbreaking apology to his own young children, who passed away from a treatable disease during his three-month quest to slay a hydra, and his subsequent mission to connect adventurer parents back with their family. "
Targl's Legends Of The Dark ,The cover is illustrated with a smiling scarecrow. The back cover depicts the same scarcrow but it is opening a horrific gaping black mouth. It has a slip on the inside cover like it was taken from a library. ,"A collection of horror stories that, while written at a level that children could understand, would likely cause deep and long-lasting fear. Nonetheless, the library card's list of names looks entirely written by children. "
"Chasms, Cliffs, & Quarries ",The cover is a dark purple canvas with plain white lettering. ,"A beginner surveyor's guide to determining the relative positions of points below the surface of the land by direct and indirect measurements of distance, direction and elevation - especially in highly uneven terrains. The book is generally very dense in information and not easy to read, but it is incredibly educational.  (You probably need some specialized tools to put any of it to use, though)"
Where's Mommy's Money?,"A colorfully illustrated children's book, featuring a cartoonish smiling elf woman in leather armor and a small elf child with red hair holding hands.  ","A book written for children between the ages of 5 and 7, following a mercinary mommy as she hunts down a client who tried to run away instead of paying her the agreed fee. The final page shows a trail of blood leading off the page, a person's severed hand, and the elf woman and child delightedly holding a sack of shining gold above their heads with gilded words printed ""There's mommy's money! Another job well-done!"" "
Digging Deeper Into Deeper Digging ,"On the front cover is a geometric styalized image of several dwarves mining down through a tunnel,  with several stones and bones just outside where they've dug. ","Dwarven Engineering book, detailing mining operations, locations, as well as preexisting & mined out mineral content of each mine. A dwarf with a mining background may recognize some of these locations! "
Krag's Caverns,"The book's cover is very plain. Just brown ink on a pale grey paper cover.  It seems well taken care of, but still extremely old. ","A Yeti family's plot book, detailing the lands King Krag owns & controls, with notations for the precise transition locations between neighboring caverns that connect in (but belong to someone else) "
"Fenrinor And The Terrible, Horrible, No Good, Very Bad Day ",The cover has illustrated a grumpy-looking king surrounded by flames and smoke. ,"A gleeful retelling of how King Fenrinor's entire castle fell in the space of a single evening, as his attempts at pressuring his subjects into obeying new (very inhumane and cruel) laws was met by instant and widespread revolt. His castle was torn apart stone-by-stone and thrown into the nearby river, except for the throne room, which was left mostly-walled in so that they could surround his throne with piles of animal dung that they then set alight. King Fenrinor currently holds the known records for both the fastest, and most thoroughly destroyed stronghold. "
Summoning Circles And How To Crochet Them ,The pale blue cover depicts a ball of yarn with one end winding around a crochet hook. ,"A short guide to minor demons and devils that a skilled textiles enthusiast could summon, if given enough yarn and time to hook them into shape.  It includes the circle patterns for all 5. Anyone with experience crocheting would know that a single one of these circles would take several months to create, due to their complexity and size. "
"A Man, A Can, A Plan ","The cover is a detailed illustration of a beach scene, with a man standing on one end of it, and his footsteps trailing across the beach's shoreline. ",A simple cookbook using a single tin can to prepare foraged semi-tropical plants from an unspecified coastal reigion. 
"Dating Demons: An Introduction For The Intrepid, And A Handy Guide For The Rest Of Us ","A simple illustration of a gold engagment ring is centered on the cover, with curving demon horns outlined around it.","Dating customs and social rituals for mid-ranked Tanar'ri demons. It also contains some diagrams on physiological barriers to a sexual relationship, and notes that the culture of Obyriths is far older and more complex, and one should not confuse the two."
Fae Proofing Your Home ,"The cover depicts candles, generic pentagrams, crystals, and a human skull. ","This guide contains a mixture of actual anti-fae wards, and folk rumors about how to repel fae - both stated as equally factual. They include carrying iron, wearing the color red, turning their clothing inside out, standing in running water, standing within a salt circle, clapping your hands loudly, and nailing a horseshoe above one's threshold. "
The Very Hungry Hungry ,"A children's book (the same publishers as 'Where's Mommy's Money?') depicting a cartoonish rendering of 'the hungry', and various monsters and items with big bites taken out of it. ","Essentially ""The Very Hungry Caterpillar"", except it's monstrosity with a huge gaping mouth, broad webbed-and-clawed hands, and an otherwise skeletal human frame. Instead of turning into a butterfly, The Hunger returns to shadowfell and is joined by his 'brothers', The Lonely, The Lost, The Wretched, and The Angry, who welcome him back and then all go to sleep together. "
Coinage Of Eberron ,"A thick, ochre-colored book that seems strangely heavy. ","A coin collector's guide to changing value of certain coins based on the serial numbers, mint date, and metal alloy content. At each chapter is a real gold, silver, or copper coin secured to the page, with arrows illustrating relevant areas to look for. The total value within is 3GP, 10SP, and 25CP, if one were to tear the coins off from their pages. "
Castle And Dungeon Maintenance,The front cover only shows the title. The back cover depicts a sloppy drawing of a dragon and an army of skeletons fighting with a tiny castle in the background. ,"The book describes in detail 17 'Event Horizon' phenomenon. For instance, the 'Dragon Event' wherin a collection of precious metals and minerals of a certain mass and value will be able to attract a dragon to that location - and methods that a careful keep could use to split its treasure across a wide area so as to 'disperse the scent' of the total hoard, to avoid attracting a dragon.  There is also the 'Necromancer Event' wherin a dungeon that has been left sufficiently dusty and under-maintained for several years will inevitably attract a necromancer to set up shop and begin raising the undead. A complex mathematical equation in the back describes how one could (theoretically of course), set a dungeon in such disrepair for a timeframe, then add enough gold so that a dragon and necromancer arrive at the same time to claim an area."
"Castle Hardware Buyer's Guide, 1348",A plain reddish-brown leather book that states it was published from the castlemasters guild of Sharn. ,"Independent reviews on equipment, hardware, and prices for equipping a castle with all it needed to withstand seiges both magical and physical."
Exploring Your Private Caverns ,A dark grey canvas book illustrated with a pair of thigh-high boots and a coil of rope. ,"A spelunking guide to safely navigating and mapping new caves - written specifically for new land owners who didn't know they had a cave entrance on their property before buying it. The author states once that their preferred spelunking footwear is thigh-high kitten heeled dress boots, but does not offer explaination and does not mention it a second time. "
Caves And Sabertooths ,A beautifully illustrated book depicts on the cover a man with a spear turning to face a sabertooth tiger leaping down on him with a wide mouth. ,the tabletop Roleplay Game from a brutal world without technology or magic. 
The Flawless Fiefdom,,How do keep your peasants prosperous and profitable
Are You My Mother?,A colorfully illustrated children's book showing a small child with pointed ears looking up at a stone golumn. ,"The book follows a child who approaches various individuals and asks ""Are you my mother?"" - At the end it's revealed that the child is actually a dragon who shapeshifted into a humanoid form by accident, and the mother really was the huge dragon from the beginning that the child passed over, since they looked nothing alike. "
We All Drift Together ,,"What begins as a serious intillectual reflection on the philisophical implications of gods and mortals influencing each other so directly begins to trail off around chapter 3 into a lengthy complaint about current drug laws and how hallucinagens ought not to be restricted. The final two chapters are comprised entirely of hand-drawn doodles of snails, leaves, and sabertoothed tigers. "
A Treatise On Goblins In Society (By The Gabbo Initiative) ,This red book is dirty and missing some pages. The edges appear to have been gnawed on. ,"The now defunct Gabbo Initiative was a collection of Wizards convinced Goblins could be productive members of society. It ended just as well as you'd expect.
The Art Of Ghosting ,A plain grey book with dark grey lettering. ,"A memoir written by a spirit revived by necromancy, about how to effectively drop contact with an ex-girlfriend and pretend you vanished off the face of the earth. The final chapter earnestly reminds the reader to not actually die for real. "
50 Animals You Can Stuff Into A Burrito ,"It appears to be a cookbook, with a fluffy grey, blue-eyed kitten on the front cover. ","This is not a recipe book. It's a heavily-illustrated journal of one woman's quest to wrap various animals tightly into a towel or large blanket, to make a 'burrito' with them. There are 50 successes, and several failed attempts wheren she had to flee from various monsters to avoid injury or death.  The final success is a little grey kitten wrapped in a towel, tail and head poking out each end. Instead of a descriptive entry explaining how she found and approached the animal, it is simply titled ""Purrito :) "" "
A Witch's Guide To Handling Disaster ,A neatly-bound purple tome with a crystal and crow's feather quill illustrated on the front. ,"It is a sensible guide to filing various forms of paperwork, from a witch who works in the administration office of a major city. it describes how to evaluate spellwork damage or fatal fights breaking out, how to assign teams to clean it up, and important details to include in the filing. "
Bark Choy: Thriving Together,"A cheerful, fluffy white dog holding a grocery basket is illustrated on the front cover. ","An instruction manual on how to train your dog to go grocery shopping, retreiving the mail, and other small tasks around town. Written by an ex-ranger whose adventuring injury and severe social phobia is now aided by a service dog. "
Dieties For Dummies ,A colorful and simple primer ,"Overviews the major gods in the campaign setting, and includes a handy illustrated reference guide on which common holy symbols belong to which god. "
Doppelganger Diaries: Together We Ride ,The cover depicts several overlapping handprints of different sizes and finger configurations ,The first book in a steamy series about one young doppelganger in the world's most complicated polycule. 
"Light and Darkness, Truth and Other Falsehoods",,
Of Mimics and Men,A cowhide-bound book with wiry black fur. A thin length of chain connects it to the shelf it's sitting on.  (Investigation 12 or greater: you notice several tiny black eyes blink open and shut when it things you're not looking) ,"It's a really sad book that english teachers like to assign- Ah, wait, no. It's a mimic. Good thing it's a small one, right?!  (Note: Higher-level DMs may decide to turn the entire bookshelf and bump up the stats)"
A Manual of Brevity,A very thin book composed mostly of thick red hardcovers and not many pages,"There's only 1 page. It reads: ""Get to the point."" "
Identifying Wood ,"Subtitle: Yep, that's wood.  Illustration is a man peering intently at a chunk of firewood ","Inside is a manual explaining exactly WHAT wood is, and how to identify different parts of it when it's crafted into other things. "
Lumber selection for building brawl resistant taverns.,,A shopper's guide to choosing sturdy and fire-resistant lumber that can resist even the most enthusiastic small riot. 
Hydraulaturgy: Reflections on theoretical magical influence on the hydrosphere.,,"101 uses for the cantrip ""Create or Destroy Water"" -  most of this volume is actually taken up by a concerned thesis explaining that one did neither create nor destroy water with this spell, but rather it is a form of summoning, pulling ambient atmosphere from the elemental plane of water."
"Bubble, boil, toil and trouble: How to fix recipes that have gone wrong.",,"Most of the advice boils down to ""Add more potatoes"", ""Add more garlic"" or ""Dump it out and try again. but measure into seperate containers this time."""
Liking lichen: A herbalists guide to growing lichen.,,"The particular lichen most described in this book (though others are mentioned) appears to have a very mild bioluminescent quality. Not enough for torchlight, but perhaps if grown on a ceiling it could replicate a starry sky?"
Dirt Is Dirt: The phrase that started the Dwarven riot of 1107,,"A historical log of the Dwarven Undercity Riots of 1107, what allegedly sparked it, and other phrases known to set off certain politcal factions of dwarves."
Twine techniques for bundling books,,"A free and open-source tool created by sorcerer Chris Klimas for making interactive fiction.  Using arcane symbols, one can link up many books and sync them to a specific story with multiple endings that the reader can choose themselves! It claims to be written in ""Lavascript"""
Adventures in Deep Sea Knitting ,,"A charming adventure book following a young gnome as he swm through the deep, knitting scarves and sweaters for the chilly fish in the cold depths. "
"Light and Darkness, Truth and Other Falsehoods","the book looks like a very, very damaged leather notebook with Elder Seal in lower outside corner of every page.",insane ramblings on Far Realm
Medical Mistrust: Choosing the Pox instead of a vaccine,,"A medic's resigned and frustrated analysis of cult-like behavior, paranoia, distrust of authority figures and misunderstandings of how medicine worked would lead to a widespread plague breakout. "
Proper Cures For Gentle Maladies ,,"Using terminology you've only heard your grandmother speak, the author describes various odd maladies and equally odd cures. An Ague is described as ""an intermitting fever, proceeded by cold shivering and ending in sweat"" is meant to be cured with 'A gentle vomit' and six pills of cobwebs.  Tar water, sea water, nettlejuice and quicksilver are all acceptable cures for ""Moist Asthma"""
Trepanation: When the headache just won't quit,,A guide to self-administering forms for Trepanation (a drill-hole through the skull )
Mazes & Monsters ,," Rulebook for a table-top roleplaying game set in ancient times, complete with a set of dice."
Why I Did It,,"A collection of letters written by various people, detailling their motivations for doing utterly insignificant things. Surprisingly sentimental at times. "
The Joy of Arsony ,"A badly burnt book, only the hardcover of which survived the flames","On the inside cover is a doodle of a young girl looking at the reader, with what appears to be a housefire behind her. "
If I Was a Rich Man,," A 6-page booklet starting with ""If I was a rich man, I would buy"" followed by a list of things the author would buy if they were, in fact, a rich man."
A Traveler's Guide to Mushrooms,,"A large collection of illustrations of various plants and animals, identifying whether or not they are mushrooms by means of writing ""MUSHROOM :D"" or ""NOT MUSHROOM :("" under it."
I Swear I'm Not A Mimic,," A big, dusty book that clearly hasn't been touched in ages and contains the diary of a troubled teenager."
101 Jokes to Liven Up Any Funeral,,"A collection of utterly tasteless jokes, puns, and word riddles. The prelude claims it was written by a man on his deathbed, hoping his friends would ""remember me with a groan and an affectionate scoff."""
